Song-Name,Singer/Artists,Genre
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",Dance
Jeene Laga Hoon,Atif Aslam,Romantic
Nit Khair Manga,Rahat Fateh Ali Khan,Romantic
Jitni Dafa,"Jeet Gannguli, Yasser Desai",Romantic
Wajah Tum Ho,Armaan Malik,RomanticSensual
Rozana,Shreya Ghoshal,Romantic
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",RomanticSad
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",Dance
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",Dance
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Dance
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Dance
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",Romantic
Socha Hai,"Jubin Nautiyal, Neeti Mohan",Romantic
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",Sad
Pehle Ke Jaisa,K.K.,Sad
Main Woh Chaand,Darshan Raval,RomanticSad
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",Dance
Jab Tak,"Amaal Mallik, Armaan Malik",Romantic
Luv Letter,"Kanika Kapoor, Meet Bros",Dance
Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",
Yaad Hai Na,Arijit Singh,Romantic
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",Dance
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,DanceRomantic
Sau Aasmaan,"Armaan Malik, Neeti Mohan",Dance
Beparwah,"Nandini Deb, Siddharth Basrur",Dance
Yaad Hai,"Ankit Tiwari, Palak Muchhal",Sad
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",Dance
Aaj Zid,Arijit Singh,Sensual
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",Romantic
Main Hoon,Siddharth Mahadevan,Dance
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",Dance
