Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
The Facts of Life,(1979–1988),,"Comedy, Family",6.8,"Mrs. Edna Garrett, the Drummonds' former housekeeper, teaches to a group of girls of a boarding school how to tackle issues throughout teenage life and later adulthood.",Lisa Whelchel,Kim Fields,Mindy Cohn,Nancy McKeon
The Moaning of Life,(2013–2015),,"Adventure, Comedy, Reality-TV",8.1,Karl is faced with the different aspects of life by travelling around the world and discovering how different people face life's challenges.,Karl Pilkington,John Montgomery,Richard Yee,Aaron Mann
Ridiculousness,(2011– ),,"Comedy, Reality-TV",6.4,Rob Dyrdek shows us some of the funniest videos with two of his friends.,Rob Dyrdek,Chanel West Coast,Sterling Brim,Brendan Schaub
Dark Tourist,-2018,,Documentary,7.6,"From a nuclear lake to a haunted forest, New Zealand filmmaker and journalist David Farrier ('Tickled') visits unusual -- and often macabre -- tourism spots around the world.",David Farrier,Robin Brown,Dan Bulter,Daley Catherine
Sick Note,(2017–2018),18,"Comedy, Crime",6.8,"When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better, so he decides to keep pretending that he really is sick. This leads to more lies, and, eventually, crimes.",Rupert Grint,Nick Frost,Pippa Bennett-Warner,Marama Corlett
Manhattan Love Story,-2014,,Comedy,7,The unfiltered internal monologues of a young man and a young woman are exposed as they begin a new relationship together.,Analeigh Tipton,Jake McDorman,Nicolas Wright,Jade Catta-Preta
Trust,-2018,,"Biography, Crime, Drama",7.6,"Rome, 1973. John Paul Getty III, the heir and younger member of an oil tycoons' saga, is kidnapped by the Italian mafia in order to get a ransom.",Harris Dickinson,Donald Sutherland,Hilary Swank,Luca Marinelli
Mahabharat,(2013–2014),12,"Drama, War",8.8,"The mother of all wars, the mother of all rivalries, the cauldron of emotions, insecurities, jealousies and power play - Mahabharat. Rivetting and a master lesson for the entire mankind.",Saurabh Jain,Shaheer Sheikh,Pooja Sharma,Arav Chowdharry
Last Chance U,(2016–2020),18,"Documentary, Sport",8.5,"Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field.",Ron Ollie,John III Franklin,Buddy Stephens,Brittany Wagner
Solsidan,(2010– ),,"Comedy, Drama",8.1,The lives of two very different families in the posh neighborhood of Solsidan in Sweden.,Felix Herngren,Mia Skäringer,Johan Rheborg,Josephine Bornebusch
The Muppets.,(2015–2016),,"Comedy, Family",7.4,Jim Henson's lovable Muppets return to the small screen in this mockumentary-style series that follows their personal and professional lives.,Dave Goelz,Eric Jacobson,Bill Barretta,Peter Linz
The Blacklist: Redemption,-2017,,"Action, Crime, Drama",7.1,"Covert operative Tom Keen joins forces with Susan ""Scottie"" Hargrave, the brilliant and cunning chief of a covert mercenary organization that solves problems that are too dangerous for the government.",Famke Janssen,Ryan Eggold,Edi Gathegi,Tawny Cypress
Alta mar,(2019–2020),18,"Crime, Drama, Mystery",6.8,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,Ivana Baquero,Jon Kortajarena,Alejandra Onieva,Eloy Azorín
Sledge Hammer!,(1986–1988),,"Action, Comedy",8.2,The adventures of a deranged and dumb police detective who always looks for the most violent solution to any problem.,David Rasche,Anne-Marie Martin,Harrison Page,Leslie Morris
Wacky Races,(1968–1970),,"Animation, Comedy, Family",7.5,The participants of an unusual car race compete around America.,Daws Butler,Don Messick,John Stephenson,Janet Waldo
Star Trek,(1973–1975),,"Animation, Action, Adventure",7.4,"The further adventures of Captain James T. Kirk and the crew of the USS Enterprise, as they explore the galaxy and defend the United Federation of Planets.",William Shatner,Leonard Nimoy,DeForest Kelley,George Takei
