Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
No Ordinary Family,(2010–2011),,"Action, Comedy, Drama",6.9,"The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon.",Michael Chiklis,Julie Benz,Kay Panabaker,Jimmy Bennett
Ófærð,(2015– ),18,"Crime, Drama, Mystery",8.1,"In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.",Ólafur Darri Ólafsson,Ilmur Kristjánsdóttir,Ingvar Sigurdsson,Elva María Birgisdóttir
Rookie Blue,(2010–2015),,"Crime, Drama",7.7,Andy McNally and her friends are out of the academy and must adjust to the challenging life of a police officer at the 15th Division in Toronto.,Missy Peregrym,Gregory Smith,Enuka Okuma,Travis Milne
Family Ties,(1982–1989),,"Comedy, Family",7.2,"Chronicles liberal ex-hippies Steven and Elyse Keaton, their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew.",Michael J. Fox,Michael Gross,Meredith Baxter,Justine Bateman
The Pink Panther Show,(1969–2011),,"Animation, Comedy, Family",7.6,"A classy, resourceful panther has plenty of hilarious misadventures, outwitting those who annoy him with his clever tricks.",Larry D. Mann,Frank Welker,Rich Little,Paul Frees
Smurfs,(1981–1989),,"Animation, Adventure, Comedy",7.2,"The Smurfs are tiny blue creatures that live in mushroom houses in a peaceful forest. They repeatedly try to outwit Gargamel, an evil sorcerer, his apprentice, Scruple, and his mangy cat, Azrael.",Don Messick,Danny Goldman,Lucille Bliss,Frank Welker
Kidding,(2018–2020),,"Comedy, Drama",8,"Jeff, a famous children's television icon, struggles to retain his sanity as his family falls apart.",Jim Carrey,Frank Langella,Judy Greer,Cole Allen
Graceland,(2013–2015),,"Action, Crime, Drama",7.7,"A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent.",Daniel Sunjata,Aaron Tveit,Vanessa Ferlito,Manny Montana
Catastrophe,(2015–2019),,Comedy,8.2,American man Rob gets Irish woman Sharon pregnant when they hook up for a week while he is on a business trip in London.,Sharon Horgan,Rob Delaney,Mark Bonnar,Ashley Jensen
Police Squad!,-1982,,"Comedy, Crime",8.4,"Sight gags and non-sequiturs dominate this spoof of police dramas. The six episodes formed the basis for the very successful ""Naked Gun"" film franchise.",Leslie Nielsen,Alan North,Rex Hamilton,Ed Williams
Ned's Declassified School Survival Guide,(2004–2007),,"Comedy, Family",7.4,Ned Bigby shares his advice on how to survive middle school.,Devon Werkheiser,Lindsey Shaw,Daniel Curtis Lee,Kyle Swann
Robin Hood,(2006–2009),,"Action, Adventure, Comedy",7.5,"After 5 years of fighting in the crusades, Robin returns to England and leads a band of outlaws to outwit the Sheriff of Nottingham.",Jonas Armstrong,Gordon Kennedy,Sam Troughton,Joe Armstrong
Psycho-Pass,(2012– ),16,"Animation, Action, Crime",8.2,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.",Kana Hanazawa,Miyuki Sawashiro,Noriko Hidaka,Shizuka Itô
The Penguins of Madagascar,(2008–2015),,"Animation, Action, Adventure",7.6,The daily adventures of penguins living in New York's Central Park Zoo.,John DiMaggio,Tom McGrath,Jeff Bennett,James Patrick Stuart
Fresh Meat,(2011–2016),,"Comedy, Drama",7.9,"A comedy that follows a group of six students about to embark on the most exciting period of their lives so far, university.",Zawe Ashton,Greg McHugh,Kimberley Nixon,Charlotte Ritchie
The Ricky Gervais Show,(2010–2012),,"Animation, Comedy, Talk-Show",8.3,Ricky Gervais and Stephen Merchant talk to Karl Pilkington about important things in life whilst Karl provides anything but intelligent answers. Comedy at its finest with wonderful animation.,Ricky Gervais,Stephen Merchant,Karl Pilkington,
Medici,(2016–2019),18,"Biography, Drama, History",7.9,"A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.",Daniel Sharman,Alessandra Mastronardi,Synnove Karlsen,Sebastian De Souza
The Tick,(2016–2019),16,"Action, Adventure, Comedy",7.4,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.",Peter Serafinowicz,Griffin Newman,Valorie Curry,Brendan Hines
Mob Psycho 100,(2016– ),16,"Animation, Action, Comedy",8.5,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Miyu Irino
"Two Guys, a Girl and a Pizza Place",(1998–2001),,"Comedy, Romance",7.4,Three twenty-somethings share a Boston apartment and hang around (and work) at a pizza place.,Traylor Howard,Ryan Reynolds,Richard Ruccolo,Suzanne Cryer
Breathe,(2018– ),16,"Drama, Thriller",8.3,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.,Madhavan,Amit Sadh,Sapna Pabbi,Shriswara
Dirty John,(2018– ),16,"Crime, Drama",7.2,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,Connie Britton,Christian Slater,Eric Bana,Amanda Peet
The Bugs Bunny/Looney Tunes Comedy Hour,(1985–1986),,"Animation, Family, Comedy",8.4,"A Saturday morning series, collecting of some of the most popular classic cartoons from the Looney Tunes catalogue.",Mel Blanc,June Foray,,
Ellen: The Ellen DeGeneres Show,(2003– ),,"Comedy, Talk-Show",6.9,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents.",Ellen DeGeneres,Stephen Boss,Andy Lassner,Wanda Sykes
Metalocalypse,(2006–2013),,"Animation, Comedy, Music",8.2,"The epic and over-the-top adventures of Dethklok, the world's most successful death metal band.",Brendon Small,Tommy Blacha,Mark Hamill,Victor Brandt
Danny Phantom,(2004–2007),,"Animation, Action, Adventure",7.1,A 14-year-old receives ghost powers and uses them to save the world,David Kaufman,Grey Griffin,Rickey D'Shon Collins,Colleen O'Shaughnessey
Queer Eye,(2018– ),16,Reality-TV,8.5,"A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.",Bobby Berk,Karamo Brown,Tan France,Antoni Porowski
RuPaul's Drag Race,(2009– ),,"Game-Show, Reality-TV",8.5,RuPaul searches for America's next drag superstar.,RuPaul,Michelle Visage,Santino Rice,Jason Carter
Girlboss,-2017,18,Comedy,7,"Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story of Nasty Gal Founder, Sophia Amoruso.",Britt Robertson,Ellie Reed,Johnny Simmons,Alphonso McAuley
Tru Calling,(2003–2005),,"Drama, Fantasy, Mystery",7.4,A university graduate working in the city morgue is able to repeat the same day over again to prevent murders or other disasters.,Eliza Dushku,Shawn Reaves,Zach Galifianakis,A.J. Cook
Body of Proof,(2011–2013),,"Comedy, Crime, Drama",7.1,Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.,Dana Delany,Jeri Ryan,Geoffrey Arend,Windell Middlebrooks
In Treatment,(2008–2021),,Drama,8.3,"A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.",Gabriel Byrne,Dianne Wiest,Michelle Forbes,Blair Underwood
My Mad Fat Diary,(2013–2015),,"Comedy, Drama, Romance",8.4,"Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl, Rae, who spent four months in a psychiatric hospital for attempted suicide. After ...                See full summary »",Jodie Comer,Ciara Baxendale,Dan Cohen,Sharon Rooney
Pawn Stars,(2009– ),,Reality-TV,7.2,"Rick Harrison and his family own and run a pawn shop on the Las Vegas strip. They buy, sell, and appraise items of historical value.",Rick Harrison,Corey Harrison,Austin 'Chumlee' Russell,Richard Harrison
Içerde,(2016–2017),,"Action, Crime, Drama",8,"A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity.",Çagatay Ulusoy,Aras Bulut Iynemli,Çetin Tekindor,Nihal G. Koldas
"Walker, Texas Ranger",(1993–2001),,"Action, Adventure, Crime",5.5,Walker and his partner Trivette are Texas Rangers. They make it their business to battle crime in Dallas and all around the Great State of Texas.,Chuck Norris,Clarence Gilyard Jr.,Sheree J. Wilson,Noble Willingham
Doctor Foster,(2015–2017),,Drama,7.7,A woman suspects her husband of having an affair. After following several lines of inquiry far more unravels including a streak of violence below the surface.,Suranne Jones,Bertie Carvel,Tom Taylor,Thusitha Jayasundera
Daybreak,(I) (2019),18,"Action, Adventure, Comedy",6.7,High school outcast Josh is searching for his missing girlfriend in post apocalyptic Glendale. He's joined by a group of misfits Angelica and his former bully Wesley. On the way they'll face many weird things.,Colin Ford,Alyvia Alyn Lind,Sophie Simnett,Austin Crute
Kingdom,(2014–2017),18,Drama,8.5,A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,Frank Grillo,Kiele Sanchez,Matt Lauria,Jonathan Tucker
NCIS: New Orleans,(2014–2021),,"Crime, Drama, Mystery",6.8,"A spin-off of NCIS: Naval Criminal Investigative Service (2003) about the local field office of NCIS that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment and decadence. This colorful city that harbors a dark side is a magnet for service personnel on leave, and when overindulgence is followed by trouble, Special Agent Dwayne ...                See full summary »",Scott Bakula,Rob Kerkovich,CCH Pounder,Daryl Mitchell
Muhtesem Yüzyil,(2011–2014),,"Biography, Drama, History",6.7,"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth"".",Halit Ergenç,Nur Fettahoglu,Selim Bayraktar,Selen Öztürk
Chicago Med,(2015– ),,Drama,7.5,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",Nick Gehlfuss,Yaya DaCosta,Torrey DeVitto,Brian Tee
Everything Sucks!,-2018,18,"Comedy, Drama",7.5,"In 1990s Oregon, members of a high school A/V club clash with the drama club.",Jahi Di'Allo Winston,Peyton Kennedy,Patch Darragh,Claudine Mboligikpelani Nako
Northern Exposure,(1990–1995),,"Comedy, Drama",8.3,A newly graduated doctor is required to set up his practice in an eccentric Alaskan town.,Rob Morrow,Janine Turner,Barry Corbin,John Cullum
Shameless,(2004–2013),18,"Comedy, Crime, Drama",8,The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.,David Threlfall,Rebecca Atkinson,Alice Barry,Nicky Evans
Sarabhai V/S Sarabhai,(2004–2017),12,Comedy,8.8,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",Satish Shah,Ratna Pathak Shah,Sumeet Raghvan,Rupali Ganguly
Please Like Me,(2013–2016),16,"Comedy, Drama, Romance",8.5,"Twenty something Josh is going through a number of big changes as he navigates his first decade of adulthood. After being dumped by his girlfriend, he comes to the realization that he is gay.",Josh Thomas,Thomas Ward,John,Debra Lawrance
Kardes Payi,(2014–2015),,"Comedy, Drama, Family",8.6,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,Ahmet Kural,Murat Cemcir,Seda Bakan,Sinasi Yurtsever
El Chapo,(2017– ),18,"Crime, Drama",7.8,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.",Marco de la O,Humberto Busto,Diego Vásquez,Juan Carlos Cruz
Glitch,(2015–2019),18,"Drama, Sci-Fi",7.3,Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,Patrick Brammall,Emma Booth,Sean Keenan,Hannah Monson
How to Make It in America,(2010–2011),,"Comedy, Drama",7.9,"A group of 20 somethings living in New York City. Ben and Cameron work on starting a fashion company, while enjoying their lives in the greatest city in the world.",Bryan Greenberg,Victor Rasuk,Lake Bell,Eddie Kaye Thomas
Dynasty,(2017– ),13,Drama,7.3,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,Elizabeth Gillies,Rafael de la Fuente,Robert Christopher Riley,Sam Adegoke
Bull,(2016– ),,"Comedy, Crime, Drama",7,"Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.",Michael Weatherly,Freddy Rodríguez,Geneva Carr,Jaime Lee Kirchner
Norsemen,(2016–2020),18,Comedy,7.8,Viking life at the close of the 8th century.,Kåre Conradi,Nils Jørgen Kaalstad,Jon Øigarden,Bjørn Myrene
Alfred Hitchcock Presents,(1955–1962),,"Comedy, Crime, Drama",8.5,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock
Breakout Kings,(2011–2012),,"Crime, Drama, Thriller",7.3,A squad of U.S. marshals team up with cons (former fugitives) to work together on tracking down prison escapees in exchange for getting time off their sentences.,Domenick Lombardozzi,Brooke Nevin,Malcolm Goodwin,Jimmi Simpson
The Pretender,(1996–2000),,"Drama, Mystery, Sci-Fi",7.5,"A specially gifted man, with the ability to instantly master any skill, escapes from a secret testing facility and travels the country taking on different jobs and helping strangers while hiding from his kidnappers.",Michael T. Weiss,Andrea Parker,Patrick Bauchau,Jon Gries
Tosh.0,(2009– ),,Comedy,7.3,Daniel Tosh provides humorous commentary on content from the Internet.,Daniel Tosh,T.K. Kelly,Sam Jarvis,Nick Malis
Darkwing Duck,(1991–1992),,"Animation, Action, Adventure",7.6,A bumbling superhero battles crime with the help of his daughter and pilot sidekick.,Jim Cummings,Terence McGovern,Christine Cavanaugh,Katie Leigh
Resurrection,(2014–2015),,"Drama, Fantasy",7.3,"The lives of the people of Arcadia, Missouri, are forever changed when their deceased loved ones return.",Omar Epps,Frances Fisher,Matt Craven,Devin Kelley
Death in Paradise,(2011– ),,"Comedy, Crime, Drama",7.8,"A UK police DI is transferred to St-Marie to investigate murders on the island, but he hates the sun, sea, and sand. Later series see other English and Irish detectives take over the role.",Elizabeth Bourgine,Danny John-Jules,Don Warrington,Tobi Bakare
A Young Doctor's Notebook & Other Stories,(2012–2013),,"Comedy, Drama",7.9,"In the early 20th century, a young doctor arrives in a small Russian village around the time of the Russian Revolution to work in the local hospital.",Jon Hamm,Daniel Radcliffe,Rosie Cavaliero,Adam Godley
Tengen toppa gurren lagann,(2007–2008),,"Animation, Action, Adventure",8.3,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.",Yuri Lowenthal,Kana Asumi,Steve Blum,Johnny Yong Bosch
The Finder,-2012,,"Comedy, Crime, Drama",7.7,"An Iraq war vet suffers a brain injury that triggers the ability to see connections between seemingly unrelated events, objects or people.",Geoff Stults,Maddie Hasson,Mercedes Mason,Michael Clarke Duncan
Krypton,(2018–2019),,"Action, Adventure, Drama",6.9,The untold story of Superman's grandfather as he fights for justice on his home planet.,Cameron Cuffe,Georgina Campbell,Shaun Sipos,Ann Ogbomo
Inuyasha,(2000–2004),16,"Animation, Action, Adventure",7.9,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,Kappei Yamaguchi,Richard Ian Cox,Darren Pleavin,Satsuki Yukino
The New Batman Adventures,(1997–1999),,"Animation, Action, Adventure",8.5,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",Kevin Conroy,Tara Strong,Mathew Valencia,Efrem Zimbalist Jr.
Life's Too Short,(2011–2013),,Comedy,7.5,"The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.",Warwick Davis,Ricky Gervais,Stephen Merchant,Rosamund Hanson
The Addams Family,(1964–1966),,"Comedy, Family, Horror",8,The misadventures of a blissfully macabre but extremely loving family.,John Astin,Carolyn Jones,Jackie Coogan,Ted Cassidy
Spooks,(2002–2011),,"Action, Crime, Drama",8.2,"The missions of MI-5, the UK's domestic intelligence organization.",Peter Firth,Hugh Simon,Nicola Walker,Rupert Penry-Jones
Criminal: UK,(2019– ),16,"Crime, Drama, Thriller",7.6,"A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.",Katherine Kelly,Lee Ingleby,Rochenda Sandall,Shubham Saraf
Gargoyles,(1994–1996),,"Animation, Action, Adventure",8.1,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,Keith David,Salli Richardson-Whitfield,Jeff Bennett,Frank Welker
Pew News,(2018–2020),,"Comedy, News",9,"The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.",Mary Katherine Ham,Felix Kjellberg,Poppy Harlow,Wolf Blitzer
ZeroZeroZero,(2019– ),18,"Crime, Drama, Thriller",8.2,"A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean.",Andrea Riseborough,Dane DeHaan,Giuseppe De Domenico,Harold Torres
Jimmy Kimmel Live!,(2003– ),,"Comedy, Music, Talk-Show",6.5,Jimmy Kimmel interviews celebrities.,Jimmy Kimmel,Cleto and the Cletones,Guillermo Rodriguez,Cleto Escobedo III
S.W.A.T.,(2017– ),,"Action, Adventure, Crime",7,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,Shemar Moore,Alex Russell,Lina Esco,Jay Harrington
Mirai nikki,(2011–2013),,"Animation, Action, Drama",7.6,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.",Josh Grelle,Brina Palencia,Leah Clark,Emily Neves
Friday Night Dinner,(2011–2020),,Comedy,8.1,"Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.",Tamsin Greig,Simon Bird,Paul Ritter,Tom Rosenthal
Believe,-2014,,"Drama, Fantasy, Sci-Fi",7.1,A relationship forms between a gifted young girl and a man sprung from prison who has been tasked with protecting her from the evil elements that hunt her power.,Jake McLaughlin,Johnny Sequoyah,Jamie Chung,Kyle MacLachlan
Vinland Saga,-2019,,"Animation, Action, Adventure",8.8,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,Naoya Uchida,Hiroki Yasumoto,Yûto Uemura,Kenshô Ono
Grounded for Life,(2001–2005),,Comedy,7.4,Thirty-something Irish Catholic couple Sean and Claudia deal with their three children as well as Sean's judgmental father and carefree brother.,Donal Logue,Megyn Price,Kevin Corrigan,Lynsey Bartilson
Galavant,(2015–2016),,"Adventure, Comedy, Fantasy",8.1,A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.,Joshua Sasse,Timothy Omundson,Vinnie Jones,Mallory Jansen
Letterkenny,(2016– ),,Comedy,8.6,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson
Mr Selfridge,(2013–2016),,Drama,7.7,"Centers on the real-life story of the flamboyant and visionary American founder of Selfridge's, London's department store.",Ron Cook,Jeremy Piven,Tom Goodman-Hill,Amy Beth Hayes
Gypsy,-2017,18,"Drama, Thriller",6.9,Therapist Jean Holloway becomes too immersed in the lives of her patients.,Naomi Watts,Billy Crudup,Sophie Cookson,Karl Glusman
Ramayan,(1987–1988),U,"Adventure, Drama, Family",9.1,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi
Kenan & Kel,(1996–2000),,"Comedy, Family",7.8,Kenan and Kel: two best friends who live in Chicago are always dragged down by Kenan's get rich quick schemes while orange soda-loving buddy Kel is dragged along but tends to mess things up.,Kenan Thompson,Kel Mitchell,Ken Foree,Teal Marchande
Crashing,-2016,,Comedy,7.7,"A comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.",Phoebe Waller-Bridge,Jonathan Bailey,Julie Dray,Louise Ford
Keeping Up Appearances,(1990–1995),,Comedy,7.8,"A snobbish housewife is determined to climb the social ladder, in spite of her family's working class connections and the constant chagrin of her long suffering husband.",Patricia Routledge,Clive Swift,Geoffrey Hughes,Judy Cornwell
White Lines,-2020,18,"Crime, Drama, Mystery",6.6,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.",Laura Haddock,Nuno Lopes,Marta Milans,Daniel Mays
The Big C,(2010–2013),,"Comedy, Drama",8.1,A suburban mother faces her cancer diagnosis while trying to find humor and happiness as well.,Laura Linney,Oliver Platt,Gabriel Basso,John Benjamin Hickey
All in the Family,(1971–1979),,"Comedy, Drama",8.3,A working class man constantly squabbles with his family over the important issues of the day.,Carroll O'Connor,Jean Stapleton,Rob Reiner,Sally Struthers
Highlander,(1992–1998),,"Action, Adventure, Fantasy",7.2,"Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals.",Adrian Paul,Stan Kirsch,Jim Byrnes,Peter Wingfield
Versailles,(2015–2018),18,"Biography, Drama, History",7.9,"In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.",George Blagden,Alexander Vlahos,Tygh Runyan,Stuart Bowman
The Mick,(2017–2018),,Comedy,7.8,A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.,Kaitlin Olson,Sofia Black-D'Elia,Thomas Barbusca,Carla Jimenez
The Angry Video Game Nerd,(2004– ),,"Comedy, Fantasy, Sci-Fi",8.5,A foul-mouthed nerd reviews bad video games.,James Rolfe,Mike Matei,Kyle Justin,Boo
Tales from the Loop,(2020– ),18,"Drama, Sci-Fi",7.5,"The townspeople who live above ""The Loop,"" a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction.",Daniel Zolghadri,Paul Schneider,Rebecca Hall,Robert Nahum Allen
Perry Mason,(2020– ),18,"Crime, Drama",7.6,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.",Matthew Rhys,Juliet Rylance,Chris Chalk,Shea Whigham
Young & Hungry,(2014–2018),,"Comedy, Drama, Romance",7.4,A well-off young tech entrepreneur hires a feisty young food blogger to be his personal chef.,Emily Osment,Jonathan Sadowski,Aimee Carrero,Kym Whitley
Battlestar Galactica,(1978–1979),,"Action, Adventure, Sci-Fi",7.2,"After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet on a desperate search for the legendary planet Earth.",Lorne Greene,Richard Hatch,Dirk Benedict,Herbert Jefferson Jr.
Faking It,(2014–2016),,"Comedy, Drama, Romance",7.4,"After numerous attempts of trying to be popular two best friends decide to come out as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse.",Rita Volk,Katie Stevens,Gregg Sulkin,Bailey De Young
Superman,(1996–2000),,"Animation, Action, Adventure",8.1,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,Tim Daly,Joseph Bologna,Dana Delany,David Kaufman
Mars,(2016–2018),PG,"Adventure, Drama, Sci-Fi",7.5,The first manned mission from Earth to Mars in 2033 attempts to colonize the red planet.,Jihae,Alberto Ammann,Clémentine Poidatz,Sammi Rotibi
Miss Fisher's Murder Mysteries,(2012–2015),16,"Crime, Drama, Mystery",8.3,"A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.",Essie Davis,Nathan Page,Hugo Johnstone-Burt,Ashleigh Cummings
Life Unexpected,(2010–2011),,Drama,7.5,"After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents.",Shiri Appleby,Kristoffer Polaha,Britt Robertson,Kerr Smith
Zoey 101,(2005–2008),,"Comedy, Drama, Family",6.1,"Zoey Brooks and her brother, Dustin, attend their first day at Pacific Coast Academy, a private boarding school that enrolls girls for the first time in its history.",Jamie Lynn Spears,Paul Butcher,Christopher Massey,Erin Sanders
Brickleberry,(2012–2015),,"Animation, Comedy",7.4,A group of never-do-well forest rangers are facing the shutdown of their National Park when a new ranger arrives to help transform them and save the park.,Daniel Tosh,Roger Black,David Herman,Tom Kenny
The Angry Beavers,(1997–2001),,"Animation, Comedy, Family",7.2,The wacky and sometimes surreal adventures of Norbert and Daggett Beaver.,Richard Steven Horvitz,Nick Bakay,Rick Logan,Charlie Brissette
Undone,(2019– ),16,"Animation, Drama, Fantasy",8.2,A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.,Rosa Salazar,Angelique Cabral,Constance Marie,Siddharth Dhananjay
Electric Dreams,(2017– ),16,Sci-Fi,7.3,A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.,Steve Buscemi,Geraldine Chaplin,Bryan Cranston,Terrence Howard
Paradise PD,(2018– ),18,"Animation, Action, Comedy",6.9,"Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",Sarah Chalke,David Herman,Tom Kenny,Kyle Kinane
The Black Donnellys,-2007,,"Crime, Drama",8.1,Four young Irish brothers are caught up in New York's underworld of organized crime.,Jonathan Tucker,Tom Guiry,Olivia Wilde,Billy Lush
Even Stevens,(2000–2003),,"Comedy, Family",7.6,"The Stevens family live in Sacramento, California, where the two younger children in the family, Ren and Louis, who have opposing personalities, often clash.",Shia LaBeouf,Christy Carlson Romano,A.J. Trauth,Nick Spano
Growing Pains,(1985–1992),,"Comedy, Family",6.6,The misadventures of a family with a home business father and a journalist mother.,Alan Thicke,Joanna Kerns,Kirk Cameron,Jeremy Miller
Charmed,(2018– ),,"Drama, Fantasy",4.6,"Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches.",Melonie Diaz,Madeleine Mantock,Sarah Jeffery,Rupert Evans
Treme,(2010–2013),,"Drama, Music",8.2,"Life after Hurricane Katrina as the residents of New Orleans try to rebuild their lives, their homes, and their unique culture in the aftermath of one of the worst natural disasters in the USA.",Khandi Alexander,Rob Brown,Kim Dickens,Melissa Leo
Chef's Table,(2015– ),16,Documentary,8.6,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",Dan Barber,Massimo Bottura,Bill Buford,Lara Gilmore
TaleSpin,(1990–1991),,"Animation, Action, Adventure",7.6,Baloo the Bear from The Jungle Book (1967) is cast as a 1930s Pacific Islands bush pilot.,Ed Gilbert,R.J. Williams,Sally Struthers,Jim Cummings
NewsRadio,(1995–1999),,"Comedy, Romance",7.9,"The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station.",Dave Foley,Stephen Root,Andy Dick,Maura Tierney
The Amazing Race,(2001– ),,"Adventure, Family, Game-Show",7.6,"Multiple teams race around the globe for $1,000,000 to 'amazing' locations.",Phil Keoghan,Joyce Agu,Uchenna Agu,Jet McCoy
UnREAL,(2015–2018),,Drama,7.8,A behind-the-scenes look at the chaos surrounding the production of a dating competition program.,Shiri Appleby,Craig Bierko,Jeffrey Bowyer-Chapman,Brennan Elliott
The Young Ones,(1982–1984),,Comedy,8.2,The crazy and sometimes surreal comedic adventures of four very different students in Thatcher's Britain.,Rik Mayall,Adrian Edmondson,Nigel Planer,Christopher Ryan
Delhi Crime,(2019– ),16,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora
